"event","quarter","id","industry","bin","p","time","Year","Quarter","resolution","realization","binL","binH","binValue"
1973.25,2,1,"#N/A",1,0.1,1972.375,NA,NA,1,NA,1,1,1
1973.5,2,1,"#N/A",1,0.2,1972.375,NA,NA,1,NA,1,1,1
1973.75,4,1,"#N/A",1,0.1,1972.875,1973,3,1,1,1,1,1
1973.75,5,1,"#N/A",1,1,1973.749,1973,3,2,1,1,1,1
1974,4,1,"#N/A",1,0.15,1972.875,NA,NA,1,NA,1,1,1
1974,1,1,"#N/A",1,0.02,1973.125,NA,NA,1,NA,1,1,1
1974.25,1,1,"#N/A",1,0.05,1973.125,1974,1,1,1,1,1,1
1974.25,3,1,"#N/A",1,0.3,1973.625,1974,1,1,1,1,1,1
1974.25,1,1,"#N/A",1,0.6,1974.125,1974,1,1,1,1,1,1
1974.25,5,1,"#N/A",1,1,1974.249,1974,1,2,1,1,1,1
1974.5,2,1,"#N/A",1,0.1,1973.375,NA,NA,1,NA,1,1,1
1974.5,3,1,"#N/A",1,0.4,1973.625,NA,NA,1,NA,1,1,1
1974.5,1,1,"#N/A",1,0.3,1974.125,NA,NA,1,NA,1,1,1
1974.5,2,1,"#N/A",1,0.8,1974.375,NA,NA,1,NA,1,1,1
1974.75,3,1,"#N/A",1,0.2,1973.625,1974,3,1,1,1,1,1
1974.75,1,1,"#N/A",1,0.1,1974.125,1974,3,1,1,1,1,1
1974.75,2,1,"#N/A",1,0.2,1974.375,1974,3,1,1,1,1,1
1974.75,5,1,"#N/A",1,1,1974.749,1974,3,2,1,1,1,1
1975,1,1,"#N/A",1,0.1,1974.125,1974,4,1,1,1,1,1
1975,2,1,"#N/A",1,0.1,1974.375,1974,4,1,1,1,1,1
1975,4,1,"#N/A",1,1,1974.875,1974,4,1,1,1,1,1
1975,5,1,"#N/A",1,1,1974.999,1974,4,2,1,1,1,1
1975.25,4,1,"#N/A",1,1,1974.875,1975,1,1,1,1,1,1
1975.25,5,1,"#N/A",1,1,1975.249,1975,1,2,1,1,1,1
1975.5,4,1,"#N/A",1,0.7,1974.875,NA,NA,1,NA,1,1,1
1975.75,4,1,"#N/A",1,0.3,1974.875,NA,NA,1,NA,1,1,1
1970,5,2,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1988,3,2,"#N/A",1,0.1,1987.625,NA,NA,1,NA,1,1,1
1988.25,1,2,"#N/A",1,0.2,1988.125,NA,NA,1,NA,1,1,1
1988.5,1,2,"#N/A",1,0.2,1988.125,NA,NA,1,NA,1,1,1
1988.75,1,2,"#N/A",1,0.2,1988.125,NA,NA,1,NA,1,1,1
1969.25,4,3,"#N/A",1,0.5,1968.875,NA,NA,1,NA,1,1,1
1969.5,4,3,"#N/A",1,0.4,1968.875,NA,NA,1,NA,1,1,1
1969.5,1,3,"#N/A",1,0.5,1969.125,NA,NA,1,NA,1,1,1
1969.75,4,3,"#N/A",1,0.1,1968.875,NA,NA,1,NA,1,1,1
1969.75,1,3,"#N/A",1,0.2,1969.125,NA,NA,1,NA,1,1,1
1969.75,2,3,"#N/A",1,0.2,1969.375,NA,NA,1,NA,1,1,1
1969.75,3,3,"#N/A",1,0.4,1969.625,NA,NA,1,NA,1,1,1
1970,2,3,"#N/A",1,0.2,1969.375,1969,4,1,1,1,1,1
1970,3,3,"#N/A",1,0.5,1969.625,1969,4,1,1,1,1,1
1970,4,3,"#N/A",1,0.3,1969.875,1969,4,1,1,1,1,1
1970,5,3,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1970.25,2,3,"#N/A",1,0.2,1969.375,1970,1,1,1,1,1,1
1970.25,3,3,"#N/A",1,0.5,1969.625,1970,1,1,1,1,1,1
1970.25,4,3,"#N/A",1,0.8,1969.875,1970,1,1,1,1,1,1
1970.25,1,3,"#N/A",1,1,1970.125,1970,1,1,1,1,1,1
1970.25,5,3,"#N/A",1,1,1970.249,1970,1,2,1,1,1,1
1970.5,2,3,"#N/A",1,0.2,1969.375,NA,NA,1,NA,1,1,1
1970.5,3,3,"#N/A",1,0.2,1969.625,NA,NA,1,NA,1,1,1
1970.5,4,3,"#N/A",1,0.4,1969.875,NA,NA,1,NA,1,1,1
1970.5,1,3,"#N/A",1,0.3,1970.125,NA,NA,1,NA,1,1,1
1970.5,2,3,"#N/A",1,0.4,1970.375,NA,NA,1,NA,1,1,1
1970.75,4,3,"#N/A",1,0.1,1969.875,NA,NA,1,NA,1,1,1
1970.75,1,3,"#N/A",1,0.1,1970.125,NA,NA,1,NA,1,1,1
1970.75,2,3,"#N/A",1,0.1,1970.375,NA,NA,1,NA,1,1,1
1971,4,3,"#N/A",1,0.1,1969.875,1970,4,1,1,1,1,1
1971,4,3,"#N/A",1,0.75,1970.875,1970,4,1,1,1,1,1
1971,5,3,"#N/A",1,1,1970.999,1970,4,2,1,1,1,1
1971.5,3,3,"#N/A",1,0.05,1970.625,NA,NA,1,NA,1,1,1
1971.75,3,3,"#N/A",1,0.05,1970.625,NA,NA,1,NA,1,1,1
1973.75,3,3,"#N/A",1,0.1,1972.625,1973,3,1,1,1,1,1
1973.75,5,3,"#N/A",1,1,1973.749,1973,3,2,1,1,1,1
1974,3,3,"#N/A",1,0.1,1973.625,NA,NA,1,NA,1,1,1
1974.25,1,3,"#N/A",1,0.25,1973.125,1974,1,1,1,1,1,1
1974.25,3,3,"#N/A",1,0.25,1973.625,1974,1,1,1,1,1,1
1974.25,5,3,"#N/A",1,1,1974.249,1974,1,2,1,1,1,1
1974.5,3,3,"#N/A",1,0.4,1973.625,NA,NA,1,NA,1,1,1
1974.75,3,3,"#N/A",1,0.4,1973.625,1974,3,1,1,1,1,1
1974.75,3,3,"#N/A",1,0.4,1974.625,1974,3,1,1,1,1,1
1974.75,5,3,"#N/A",1,1,1974.749,1974,3,2,1,1,1,1
1975,3,3,"#N/A",1,0.3,1974.625,1974,4,1,1,1,1,1
1975,4,3,"#N/A",1,1,1974.875,1974,4,1,1,1,1,1
1975,5,3,"#N/A",1,1,1974.999,1974,4,2,1,1,1,1
1975.25,3,3,"#N/A",1,0.3,1974.625,1975,1,1,1,1,1,1
1975.25,4,3,"#N/A",1,0.95,1974.875,1975,1,1,1,1,1,1
1975.25,5,3,"#N/A",1,1,1975.249,1975,1,2,1,1,1,1
1975.5,3,3,"#N/A",1,0.2,1974.625,NA,NA,1,NA,1,1,1
1975.5,4,3,"#N/A",1,0.25,1974.875,NA,NA,1,NA,1,1,1
1975.75,4,3,"#N/A",1,0.1,1974.875,NA,NA,1,NA,1,1,1
1978,5,3,"#N/A",1,1,1977.999,1977,4,2,1,1,1,1
1978.5,2,3,"#N/A",1,0.25,1977.375,NA,NA,1,NA,1,1,1
1979.75,2,3,"#N/A",1,0.45,1979.375,NA,NA,1,NA,1,1,1
1980,2,3,"#N/A",1,0.49,1979.375,NA,NA,1,NA,1,1,1
1980,4,3,"#N/A",1,0.99,1979.875,NA,NA,1,NA,1,1,1
1980.25,2,3,"#N/A",1,0.3,1979.375,NA,NA,1,NA,1,1,1
1980.25,4,3,"#N/A",1,0.99,1979.875,NA,NA,1,NA,1,1,1
1980.5,2,3,"#N/A",1,0.3,1979.375,1980,2,1,1,1,1,1
1980.5,4,3,"#N/A",1,0.7,1979.875,1980,2,1,1,1,1,1
1980.5,5,3,"#N/A",1,1,1980.499,1980,2,2,1,1,1,1
1980.75,4,3,"#N/A",1,0.4,1979.875,1980,3,1,1,1,1,1
1980.75,5,3,"#N/A",1,1,1980.749,1980,3,2,1,1,1,1
1981,4,3,"#N/A",1,0.1,1979.875,NA,NA,1,NA,1,1,1
1982.25,1,3,"#N/A",1,0.99,1982.125,1982,1,1,1,1,1,1
1982.25,5,3,"#N/A",1,1,1982.249,1982,1,2,1,1,1,1
1982.5,1,3,"#N/A",1,0.5,1982.125,NA,NA,1,NA,1,1,1
1982.5,2,3,"#N/A",1,0.5,1982.375,NA,NA,1,NA,1,1,1
1982.75,1,3,"#N/A",1,0.1,1982.125,1982,3,1,1,1,1,1
1982.75,2,3,"#N/A",1,0.1,1982.375,1982,3,1,1,1,1,1
1982.75,5,3,"#N/A",1,1,1982.749,1982,3,2,1,1,1,1
1983,1,3,"#N/A",1,0.05,1982.125,NA,NA,1,NA,1,1,1
1983,2,3,"#N/A",1,0.05,1982.375,NA,NA,1,NA,1,1,1
1983,3,3,"#N/A",1,0.5,1982.625,NA,NA,1,NA,1,1,1
1983.25,1,3,"#N/A",1,0.05,1982.125,NA,NA,1,NA,1,1,1
1983.25,2,3,"#N/A",1,0.1,1982.375,NA,NA,1,NA,1,1,1
1983.5,2,3,"#N/A",1,0.15,1982.375,NA,NA,1,NA,1,1,1
1983.5,3,3,"#N/A",1,0.05,1982.625,NA,NA,1,NA,1,1,1
1983.75,3,3,"#N/A",1,0.05,1982.625,NA,NA,1,NA,1,1,1
1969.25,4,4,"#N/A",1,0.5,1968.875,NA,NA,1,NA,1,1,1
1969.25,1,4,"#N/A",1,0.2,1969.125,NA,NA,1,NA,1,1,1
1969.5,4,4,"#N/A",1,0.3,1968.875,NA,NA,1,NA,1,1,1
1969.5,1,4,"#N/A",1,0.25,1969.125,NA,NA,1,NA,1,1,1
1969.75,4,4,"#N/A",1,0.1,1968.875,NA,NA,1,NA,1,1,1
1969.75,1,4,"#N/A",1,0.1,1969.125,NA,NA,1,NA,1,1,1
1970,4,4,"#N/A",1,0.1,1968.875,1969,4,1,1,1,1,1
1970,1,4,"#N/A",1,0.1,1969.125,1969,4,1,1,1,1,1
1970,2,4,"#N/A",1,0.1,1969.375,1969,4,1,1,1,1,1
1970,5,4,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1970.25,2,4,"#N/A",1,0.25,1969.375,1970,1,1,1,1,1,1
1970.25,4,4,"#N/A",1,0.25,1969.875,1970,1,1,1,1,1,1
1970.25,1,4,"#N/A",1,0.5,1970.125,1970,1,1,1,1,1,1
1970.25,5,4,"#N/A",1,1,1970.249,1970,1,2,1,1,1,1
1970.5,2,4,"#N/A",1,0.25,1969.375,NA,NA,1,NA,1,1,1
1970.5,4,4,"#N/A",1,0.33,1969.875,NA,NA,1,NA,1,1,1
1970.5,1,4,"#N/A",1,0.25,1970.125,NA,NA,1,NA,1,1,1
1970.5,2,4,"#N/A",1,0.75,1970.375,NA,NA,1,NA,1,1,1
1970.75,2,4,"#N/A",1,0.25,1970.375,NA,NA,1,NA,1,1,1
1970.75,3,4,"#N/A",1,0.15,1970.625,NA,NA,1,NA,1,1,1
1971,3,4,"#N/A",1,0.05,1970.625,1970,4,1,1,1,1,1
1971,5,4,"#N/A",1,1,1970.999,1970,4,2,1,1,1,1
1971.75,1,4,"#N/A",1,0.5,1971.125,NA,NA,1,NA,1,1,1
1971.75,2,4,"#N/A",1,0.5,1971.375,NA,NA,1,NA,1,1,1
1971.75,3,4,"#N/A",1,0.25,1971.625,NA,NA,1,NA,1,1,1
1972,1,4,"#N/A",1,0.1,1971.125,NA,NA,1,NA,1,1,1
1972,2,4,"#N/A",1,0.2,1971.375,NA,NA,1,NA,1,1,1
1972,3,4,"#N/A",1,0.1,1971.625,NA,NA,1,NA,1,1,1
1972.25,3,4,"#N/A",1,0.1,1971.625,NA,NA,1,NA,1,1,1
1972.5,4,4,"#N/A",1,0.01,1971.875,NA,NA,1,NA,1,1,1
1972.75,4,4,"#N/A",1,0.02,1971.875,NA,NA,1,NA,1,1,1
1973,4,4,"#N/A",1,0.02,1971.875,NA,NA,1,NA,1,1,1
1973,3,4,"#N/A",1,0.01,1972.625,NA,NA,1,NA,1,1,1
1973.25,3,4,"#N/A",1,0.01,1972.625,NA,NA,1,NA,1,1,1
1973.5,3,4,"#N/A",1,0.02,1972.625,NA,NA,1,NA,1,1,1
1973.75,3,4,"#N/A",1,0.05,1972.625,1973,3,1,1,1,1,1
1973.75,5,4,"#N/A",1,1,1973.749,1973,3,2,1,1,1,1
1981.75,3,4,"#N/A",1,1,1981.625,NA,NA,1,NA,1,1,1
1982,4,4,"#N/A",1,1,1981.875,1981,4,1,1,1,1,1
1982,5,4,"#N/A",1,1,1981.999,1981,4,2,1,1,1,1
1982.25,4,4,"#N/A",1,1,1981.875,1982,1,1,1,1,1,1
1982.25,5,4,"#N/A",1,1,1982.249,1982,1,2,1,1,1,1
1982.5,4,4,"#N/A",1,0.2,1981.875,NA,NA,1,NA,1,1,1
1969,4,5,"#N/A",1,0.1,1968.875,NA,NA,1,NA,1,1,1
1969.25,4,5,"#N/A",1,0.2,1968.875,NA,NA,1,NA,1,1,1
1969.5,4,5,"#N/A",1,0.5,1968.875,NA,NA,1,NA,1,1,1
1969.75,4,5,"#N/A",1,0.1,1968.875,NA,NA,1,NA,1,1,1
1970,4,5,"#N/A",1,0.1,1968.875,1969,4,1,1,1,1,1
1970,5,5,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1981.75,3,5,"#N/A",1,0.7,1981.625,NA,NA,1,NA,1,1,1
1982,3,5,"#N/A",1,0.4,1981.625,1981,4,1,1,1,1,1
1982,4,5,"#N/A",1,0.9,1981.875,1981,4,1,1,1,1,1
1982,5,5,"#N/A",1,1,1981.999,1981,4,2,1,1,1,1
1982.25,3,5,"#N/A",1,0.1,1981.625,1982,1,1,1,1,1,1
1982.25,4,5,"#N/A",1,0.5,1981.875,1982,1,1,1,1,1,1
1982.25,1,5,"#N/A",1,1,1982.125,1982,1,1,1,1,1,1
1982.25,5,5,"#N/A",1,1,1982.249,1982,1,2,1,1,1,1
1982.5,3,5,"#N/A",1,0.1,1981.625,NA,NA,1,NA,1,1,1
1982.5,4,5,"#N/A",1,0.1,1981.875,NA,NA,1,NA,1,1,1
1982.5,1,5,"#N/A",1,0.5,1982.125,NA,NA,1,NA,1,1,1
1982.5,2,5,"#N/A",1,0.7,1982.375,NA,NA,1,NA,1,1,1
1982.75,3,5,"#N/A",1,0.1,1981.625,1982,3,1,1,1,1,1
1982.75,1,5,"#N/A",1,0.1,1982.125,1982,3,1,1,1,1,1
1982.75,2,5,"#N/A",1,0.1,1982.375,1982,3,1,1,1,1,1
1982.75,5,5,"#N/A",1,1,1982.749,1982,3,2,1,1,1,1
1983,2,5,"#N/A",1,0.1,1982.375,NA,NA,1,NA,1,1,1
1983,3,5,"#N/A",1,0.2,1982.625,NA,NA,1,NA,1,1,1
1983,4,5,"#N/A",1,0.2,1982.875,NA,NA,1,NA,1,1,1
1983.25,2,5,"#N/A",1,0.1,1982.375,NA,NA,1,NA,1,1,1
1983.25,3,5,"#N/A",1,0.1,1982.625,NA,NA,1,NA,1,1,1
1983.25,4,5,"#N/A",1,0.1,1982.875,NA,NA,1,NA,1,1,1
1983.25,1,5,"#N/A",1,0.2,1983.125,NA,NA,1,NA,1,1,1
1983.5,2,5,"#N/A",1,0.1,1982.375,NA,NA,1,NA,1,1,1
1983.5,1,5,"#N/A",1,0.1,1983.125,NA,NA,1,NA,1,1,1
1985.5,4,5,"#N/A",1,0.1,1984.875,NA,NA,1,NA,1,1,1
1985.75,3,5,"#N/A",1,0.1,1984.625,NA,NA,1,NA,1,1,1
1985.75,4,5,"#N/A",1,0.2,1984.875,NA,NA,1,NA,1,1,1
1986,4,5,"#N/A",1,0.2,1984.875,NA,NA,1,NA,1,1,1
1969.5,4,6,"#N/A",1,0.1,1968.875,NA,NA,1,NA,1,1,1
1969.5,1,6,"#N/A",1,0.25,1969.125,NA,NA,1,NA,1,1,1
1969.75,4,6,"#N/A",1,0.2,1968.875,NA,NA,1,NA,1,1,1
1969.75,1,6,"#N/A",1,0.25,1969.125,NA,NA,1,NA,1,1,1
1969.75,3,6,"#N/A",1,0.25,1969.625,NA,NA,1,NA,1,1,1
1970,1,6,"#N/A",1,0.1,1969.125,1969,4,1,1,1,1,1
1970,2,6,"#N/A",1,0.02,1969.375,1969,4,1,1,1,1,1
1970,3,6,"#N/A",1,0.25,1969.625,1969,4,1,1,1,1,1
1970,4,6,"#N/A",1,0.05,1969.875,1969,4,1,1,1,1,1
1970,5,6,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1970.25,2,6,"#N/A",1,0.1,1969.375,1970,1,1,1,1,1,1
1970.25,3,6,"#N/A",1,0.8,1969.625,1970,1,1,1,1,1,1
1970.25,4,6,"#N/A",1,0.5,1969.875,1970,1,1,1,1,1,1
1970.25,1,6,"#N/A",1,0.6,1970.125,1970,1,1,1,1,1,1
1970.25,5,6,"#N/A",1,1,1970.249,1970,1,2,1,1,1,1
1970.5,2,6,"#N/A",1,0.5,1969.375,NA,NA,1,NA,1,1,1
1970.5,3,6,"#N/A",1,0.25,1969.625,NA,NA,1,NA,1,1,1
1970.5,4,6,"#N/A",1,0.5,1969.875,NA,NA,1,NA,1,1,1
1970.5,1,6,"#N/A",1,0.3,1970.125,NA,NA,1,NA,1,1,1
1970.5,2,6,"#N/A",1,0.75,1970.375,NA,NA,1,NA,1,1,1
1970.75,4,6,"#N/A",1,0.15,1969.875,NA,NA,1,NA,1,1,1
1970.75,1,6,"#N/A",1,0.1,1970.125,NA,NA,1,NA,1,1,1
1970.75,2,6,"#N/A",1,0.5,1970.375,NA,NA,1,NA,1,1,1
1970.75,3,6,"#N/A",1,0.5,1970.625,NA,NA,1,NA,1,1,1
1971,4,6,"#N/A",1,0.05,1969.875,1970,4,1,1,1,1,1
1971,2,6,"#N/A",1,0.1,1970.375,1970,4,1,1,1,1,1
1971,3,6,"#N/A",1,0.1,1970.625,1970,4,1,1,1,1,1
1971,5,6,"#N/A",1,1,1970.999,1970,4,2,1,1,1,1
1971.25,2,6,"#N/A",1,0.05,1970.375,NA,NA,1,NA,1,1,1
1971.25,3,6,"#N/A",1,0.05,1970.625,NA,NA,1,NA,1,1,1
1971.5,3,6,"#N/A",1,0.03,1970.625,NA,NA,1,NA,1,1,1
1971.75,3,6,"#N/A",1,0.02,1970.625,NA,NA,1,NA,1,1,1
1969.25,4,7,"#N/A",1,0.02,1968.875,NA,NA,1,NA,1,1,1
1969.5,4,7,"#N/A",1,0.05,1968.875,NA,NA,1,NA,1,1,1
1969.75,4,7,"#N/A",1,0.05,1968.875,NA,NA,1,NA,1,1,1
1969.75,1,7,"#N/A",1,0.1,1969.125,NA,NA,1,NA,1,1,1
1970,4,7,"#N/A",1,0.05,1968.875,1969,4,1,1,1,1,1
1970,1,7,"#N/A",1,0.2,1969.125,1969,4,1,1,1,1,1
1970,4,7,"#N/A",1,0.2,1969.875,1969,4,1,1,1,1,1
1970,5,7,"#N/A",1,1,1969.999,1969,4,2,1,1,1,1
1970.25,4,7,"#N/A",1,0.65,1969.875,1970,1,1,1,1,1,1
1970.25,1,7,"#N/A",1,0.85,1970.125,1970,1,1,1,1,1,1
1970.25,5,7,"#N/A",1,1,1970.249,1970,1,2,1,1,1,1
1970.5,4,7,"#N/A",1,0.65,1969.875,NA,NA,1,NA,1,1,1
1970.5,1,7,"#N/A",1,0.7,1970.125,NA,NA,1,NA,1,1,1
1970.75,4,7,"#N/A",1,0.5,1969.875,NA,NA,1,NA,1,1,1
1970.75,1,7,"#N/A",1,0.45,1970.125,NA,NA,1,NA,1,1,1
1971,4,7,"#N/A",1,0.2,1969.875,1970,4,1,1,1,1,1
1971,1,7,"#N/A",1,0.15,1970.125,1970,4,1,1,1,1,1
1971,5,7,"#N/A",1,1,1970.999,1970,4,2,1,1,1,1
1971.5,2,7,"#N/A",1,0.01,1971.375,NA,NA,1,NA,1,1,1
1971.75,1,7,"#N/A",1,0.15,1971.125,NA,NA,1,NA,1,1,1
1971.75,2,7,"#N/A",1,0.05,1971.375,NA,NA,1,NA,1,1,1
1971.75,3,7,"#N/A",1,0.05,1971.625,NA,NA,1,NA,1,1,1
1972,1,7,"#N/A",1,0.02,1971.125,NA,NA,1,NA,1,1,1
1972,2,7,"#N/A",1,0.01,1971.375,NA,NA,1,NA,1,1,1
1972,3,7,"#N/A",1,0.05,1971.625,NA,NA,1,NA,1,1,1
1972.25,1,7,"#N/A",1,0.02,1971.125,NA,NA,1,NA,1,1,1
1972.25,2,7,"#N/A",1,0.01,1971.375,NA,NA,1,NA,1,1,1
1972.25,3,7,"#N/A",1,0.05,1971.625,NA,NA,1,NA,1,1,1
1972.25,4,7,"#N/A",1,0.03,1971.875,NA,NA,1,NA,1,1,1
1972.5,3,7,"#N/A",1,0.05,1971.625,NA,NA,1,NA,1,1,1
1972.5,4,7,"#N/A",1,0.03,1971.875,NA,NA,1,NA,1,1,1
1972.5,1,7,"#N/A",1,0.02,1972.125,NA,NA,1,NA,1,1,1
1972.75,3,7,"#N/A",1,0.05,1971.625,NA,NA,1,NA,1,1,1
1972.75,4,7,"#N/A",1,0.03,1971.875,NA,NA,1,NA,1,1,1
1972.75,1,7,"#N/A",1,0.02,1972.125,NA,NA,1,NA,1,1,1
1972.75,2,7,"#N/A",1,0.01,1972.375,NA,NA,1,NA,1,1,1
1973,4,7,"#N/A",1,0.03,1971.875,NA,NA,1,NA,1,1,1
1973,1,7,"#N/A",1,0.02,1972.125,NA,NA,1,NA,1,1,1
1973,2,7,"#N/A",1,0.02,1972.375,NA,NA,1,NA,1,1,1
1973,3,7,"#N/A",1,0.02,1972.625,NA,NA,1,NA,1,1,1
1973.25,1,7,"#N/A",1,0.05,1972.125,NA,NA,1,NA,1,1,1
1973.25,2,7,"#N/A",1,0.02,1972.375,NA,NA,1,NA,1,1,1
1973.25,3,7,"#N/A",1,0.03,1972.625,NA,NA,1,NA,1,1,1
1973.5,2,7,"#N/A",1,0.03,1972.375,NA,NA,1,NA,1,1,1
1973.5,3,7,"#N/A",1,0.06,1972.625,NA,NA,1,NA,1,1,1
1973.5,4,7,"#N/A",1,0.02,1972.875,NA,NA,1,NA,1,1,1
1973.75,3,7,"#N/A",1,0.1,1972.625,1973,3,1,1,1,1,1
1973.75,4,7,"#N/A",1,0.05,1972.875,1973,3,1,1,1,1,1
1973.75,1,7,"#N/A",1,0.03,1973.125,1973,3,1,1,1,1,1
1973.75,5,7,"#N/A",1,1,1973.749,1973,3,2,1,1,1,1
1974,4,7,"#N/A",1,0.1,1972.875,NA,NA,1,NA,1,1,1
1974,1,7,"#N/A",1,0.04,1973.125,NA,NA,1,NA,1,1,1
1974,3,7,"#N/A",1,0.02,1973.625,NA,NA,1,NA,1,1,1
1974,4,7,"#N/A",1,0.01,1973.875,NA,NA,1,NA,1,1,1
1974.25,1,7,"#N/A",1,0.09,1973.125,1974,1,1,1,1,1,1
1974.25,3,7,"#N/A",1,0.08,1973.625,1974,1,1,1,1,1,1
1974.25,4,7,"#N/A",1,0.5,1973.875,1974,1,1,1,1,1,1
1974.25,1,7,"#N/A",1,0.85,1974.125,1974,1,1,1,1,1,1
1974.25,5,7,"#N/A",1,1,1974.249,1974,1,2,1,1,1,1
1974.5,3,7,"#N/A",1,0.1,1973.625,NA,NA,1,NA,1,1,1
1974.5,4,7,"#N/A",1,0.25,1973.875,NA,NA,1,NA,1,1,1
1974.5,1,7,"#N/A",1,0.4,1974.125,NA,NA,1,NA,1,1,1
1974.5,2,7,"#N/A",1,0.15,1974.375,NA,NA,1,NA,1,1,1
1974.75,3,7,"#N/A",1,0.1,1973.625,1974,3,1,1,1,1,1
1974.75,4,7,"#N/A",1,0.15,1973.875,1974,3,1,1,1,1,1
1974.75,1,7,"#N/A",1,0.2,1974.125,1974,3,1,1,1,1,1
1974.75,2,7,"#N/A",1,0.2,1974.375,1974,3,1,1,1,1,1
1974.75,5,7,"#N/A",1,1,1974.749,1974,3,2,1,1,1,1
1975,4,7,"#N/A",1,0.15,1973.875,1974,4,1,1,1,1,1
1975,1,7,"#N/A",1,0.1,1974.125,1974,4,1,1,1,1,1
1975,2,7,"#N/A",1,0.2,1974.375,1974,4,1,1,1,1,1
1975,4,7,"#N/A",1,0.5,1974.875,1974,4,1,1,1,1,1
1975,5,7,"#N/A",1,1,1974.999,1974,4,2,1,1,1,1
1975.25,1,7,"#N/A",1,0.05,1974.125,1975,1,1,1,1,1,1
1975.25,2,7,"#N/A",1,0.3,1974.375,1975,1,1,1,1,1,1
1975.25,4,7,"#N/A",1,0.6,1974.875,1975,1,1,1,1,1,1
1975.25,1,7,"#N/A",1,0.9,1975.125,1975,1,1,1,1,1,1
1975.25,5,7,"#N/A",1,1,1975.249,1975,1,2,1,1,1,1
1975.5,2,7,"#N/A",1,0.3,1974.375,NA,NA,1,NA,1,1,1
1975.5,4,7,"#N/A",1,0.2,1974.875,NA,NA,1,NA,1,1,1
1975.5,1,7,"#N/A",1,0.7,1975.125,NA,NA,1,NA,1,1,1
1975.75,4,7,"#N/A",1,0.15,1974.875,NA,NA,1,NA,1,1,1
1975.75,1,7,"#N/A",1,0.45,1975.125,NA,NA,1,NA,1,1,1
1976,4,7,"#N/A",1,0.05,1974.875,NA,NA,1,NA,1,1,1
1976,1,7,"#N/A",1,0.15,1975.125,NA,NA,1,NA,1,1,1
1976.25,1,7,"#N/A",1,0.05,1975.125,NA,NA,1,NA,1,1,1
1976.5,1,7,"#N/A",1,0.05,1976.125,NA,NA,1,NA,1,1,1
